Timestamp_S,X,Y,Z
4.89721,0.050544,-0.160212,0.993174
4.89771,0.049062,-0.162708,0.989196
4.89821,0.048360,-0.161304,0.990210
4.89871,0.050700,-0.164658,0.990522
4.89921,0.046956,-0.164814,0.988728
4.89971,0.049998,-0.162552,0.993798
4.90021,0.052572,-0.166140,0.993954
4.90071,0.050076,-0.167310,0.994500
4.90121,0.049374,-0.165204,0.993096
4.90171,0.049686,-0.165984,0.989976
4.90221,0.046800,-0.166374,0.988260
4.90271,0.047346,-0.161694,0.991068
4.90321,0.050622,-0.158340,0.992784
4.90366,0.051246,-0.159822,0.993330
4.90416,0.050778,-0.160680,0.993174
4.90466,0.048048,-0.159042,0.994110
4.90516,0.049140,-0.162474,0.990444
4.90566,0.051246,-0.160056,0.994422
4.90616,0.051246,-0.160524,0.991068
4.90666,0.049296,-0.159900,0.992706
4.90716,0.049452,-0.158652,0.993642
4.90766,0.051714,-0.160290,0.990444
4.90816,0.051870,-0.159510,0.991926
4.90866,0.048360,-0.163644,0.995124
4.90916,0.046878,-0.161460,0.993096
4.90966,0.050466,-0.160758,0.994110
4.91016,0.049062,-0.160680,0.993642
4.91066,0.050232,-0.160602,0.991146
4.91116,0.052026,-0.160368,0.991692
4.91166,0.049920,-0.161772,0.990600
4.91216,0.049452,-0.163410,0.990990
4.91260,0.051948,-0.160212,0.989664
4.91310,0.048282,-0.159900,0.991380
4.91360,0.048750,-0.158496,0.994110
4.91410,0.050388,-0.160524,0.990678
4.91460,0.050310,-0.159432,0.990990
4.91510,0.051636,-0.161226,0.996528
4.91560,0.050934,-0.161070,0.993252
4.91610,0.051714,-0.159900,0.994968
4.91660,0.051792,-0.163800,0.995904
4.91710,0.051480,-0.162162,0.991926
4.91760,0.050544,-0.160992,0.991380
4.91810,0.046956,-0.160914,0.994422
4.91860,0.050388,-0.162630,0.994500
4.91910,0.051168,-0.163800,0.993408
4.91960,0.051324,-0.159510,0.990288
4.92010,0.050778,-0.161382,0.991380
4.92060,0.051480,-0.161382,0.987246
4.92110,0.055302,-0.164814,0.991458
4.92154,0.051012,-0.162552,0.992316
4.92204,0.046644,-0.163878,0.993330
4.92254,0.048438,-0.164112,0.995514
4.92304,0.049374,-0.165048,0.993330
4.92354,0.051324,-0.161928,0.991536
4.92404,0.047346,-0.160134,0.990132
4.92454,0.049842,-0.159900,0.992862
4.92504,0.048360,-0.160056,0.991692
4.92554,0.048750,-0.160134,0.990756
4.92604,0.051090,-0.157326,0.991770
4.92654,0.046176,-0.160992,0.991068
4.92704,0.051012,-0.161928,0.994344
4.92754,0.051402,-0.162318,0.992316
4.92804,0.049608,-0.162396,0.990522
4.92854,0.052572,-0.160524,0.993330
4.92904,0.052494,-0.160758,0.988962
4.92954,0.050154,-0.162552,0.988416
4.93004,0.051792,-0.156780,0.989508
4.93048,0.052962,-0.157326,0.989430
4.93098,0.051168,-0.159120,0.989586
4.93148,0.050934,-0.164034,0.990132
4.93198,0.048438,-0.162006,0.989508
4.93248,0.050310,-0.157170,0.989352
4.93298,0.049920,-0.158964,0.989118
4.93348,0.053508,-0.159666,0.989664
4.93398,0.056160,-0.158262,0.987168
4.93448,0.051012,-0.160992,0.986310
4.93498,0.050232,-0.160212,0.990834
4.93548,0.051324,-0.164970,0.994422
4.93598,0.048672,-0.159744,0.993174
4.93648,0.048360,-0.162240,0.994890
4.93698,0.051480,-0.160680,0.991926
4.93748,0.045708,-0.162630,0.992004
4.93798,0.047970,-0.165048,0.992238
4.93848,0.054366,-0.161538,0.993174
4.93898,0.048984,-0.163566,0.991926
4.93942,0.050076,-0.163722,0.992394
4.93992,0.050232,-0.164658,0.992706
4.94042,0.048984,-0.165360,0.992316
4.94092,0.048594,-0.162240,0.990990
4.94142,0.048906,-0.163566,0.990366
4.94192,0.047892,-0.156000,0.989742
4.94242,0.046098,-0.161538,0.989664
4.94292,0.052650,-0.163020,0.988650
